policy,metric,escalation,n_common_seeds,a_median,b_median,median_abs_change,median_rel_change_pct,wilcoxon_stat,wilcoxon_p
no_reward,average_voltage_pu,A_nominal -> B_moderate,30,0.961428571428572,0.47561224489795917,-0.4761224489795923,-50.02150972667313,0.0,1.7300371292901245e-06
no_reward,average_voltage_pu,A_nominal -> B_severe,30,0.961428571428572,0.22204081632653058,-0.7200000000000005,-76.42980935875218,0.0,1.3877325930952065e-06
no_reward,minimum_voltage_pu,A_nominal -> B_moderate,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_reward,minimum_voltage_pu,A_nominal -> B_severe,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_reward,maximum_voltage_pu,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_reward,maximum_voltage_pu,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_reward,successful_restoration_count,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_reward,successful_restoration_count,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_reward,controller_runtime_s,A_nominal -> B_moderate,30,0.11795,0.3887,0.2713,234.63461900577454,0.0,1.7343976283205784e-06
no_reward,controller_runtime_s,A_nominal -> B_severe,30,0.11795,0.40769999999999995,0.28664999999999996,243.33113474783386,0.0,1.7343976283205784e-06
no_reward,runtime_s,A_nominal -> B_moderate,30,1.50365,1.25885,-0.26849999999999996,-17.075127081087956,6.0,3.1816794109698553e-06
no_reward,runtime_s,A_nominal -> B_severe,30,1.50365,1.2541,-0.26895,-18.007497964689755,3.0,2.3534209951215346e-06
no_twin,ens,A_nominal -> B_moderate,30,30.0,50.0,20.0,66.66666666666666,0.0,4.320463057827488e-08
no_twin,ens,A_nominal -> B_severe,30,30.0,80.0,50.0,166.66666666666669,0.0,6.79884997479191e-08
no_twin,saidi,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_twin,saidi,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_twin,saifi,A_nominal -> B_moderate,30,0.061224489795918366,0.10204081632653061,0.04081632653061225,66.66666666666667,0.0,4.320463057827488e-08
no_twin,saifi,A_nominal -> B_severe,30,0.061224489795918366,0.16326530612244897,0.1020408163265306,166.66666666666666,0.0,6.79884997479191e-08
no_twin,restoration_time_seconds,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_twin,restoration_time_seconds,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_twin,critical_load_restored_pct,A_nominal -> B_moderate,30,100.0,0.0,-100.0,-100.0,0.0,1.8022101049184185e-05
no_twin,critical_load_restored_pct,A_nominal -> B_severe,30,100.0,0.0,-100.0,-100.0,0.0,1.975565679194216e-07
no_twin,voltage_violation_count,A_nominal -> B_moderate,30,0.0,2543.5,2543.5,,0.0,1.7343976283205784e-06
no_twin,voltage_violation_count,A_nominal -> B_severe,30,0.0,5863.5,5844.0,,0.0,1.7343976283205784e-06
no_twin,line_overload_count,A_nominal -> B_moderate,30,5.0,0.0,-5.0,,0.0,5.745590380959015e-05
no_twin,line_overload_count,A_nominal -> B_severe,30,5.0,96.0,91.5,,0.0,1.7311263949197286e-06
no_twin,switching_operations,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_twin,switching_operations,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
