stress_level,anchor,other,metric,n_pairs,median_a,median_b,mean_a,mean_b,median_diff,median_rel_diff_pct,wilcoxon_W,wilcoxon_p,ttest_t,ttest_p,cliffs_delta,holm_p,classification
moderate,full_stack,no_reward,ens,30,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,restoration_time_seconds,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,switching_operations,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,frequency_deviation_count,30,5831.0,5831.0,6038.433333333333,6038.433333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,actions_taken,30,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,runtime_s,30,1.2389999999999999,1.2271,1.3500733333333332,1.2441733333333334,0.0118999999999998,0.9697661152310161,198.0,0.47159142852845126,2.33431675101717,0.02429786119787436,0.14222222222222222,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,controller_runtime_s,30,0.12669999999999998,0.11324999999999999,0.13164333333333333,0.11328,0.01344999999999999,11.876379690949218,88.0,0.0028600327143257775,4.683073502017264,6.227803060365744e-06,0.6411111111111111,1.0,INCONCLUSIVE
moderate,full_stack,no_reward,power_flow_runtime_s,30,0.4255,0.4335,0.46416666666666667,0.43664333333333333,-0.008000000000000007,-1.8454440599769335,159.0,0.1279948145427905,1.5764032979980889,0.12824142230752322,-0.12111111111111111,1.0,INCONCLUSIVE
severe,full_stack,no_lstm,stress_cumulative_unserved_energy,30,8364.414539892787,8364.414539892787,8385.047580682673,8385.047580682673,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
